Series Name,Series Code,Country Name,Country Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Cambodia,KHM,..,..,..,26.3,26,26,26,26,26,26,39.7,39.7,39.7,39.7,39.8
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Cameroon,CMR,..,..,..,11,11,10.9,10.6,10.6,10.6,10.9,10.9,11,11,11,11
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Canada,CAN,..,..,..,9.4,9.4,9.3,9.7,9.7,9.6,11,9.9,11.9,12.7,12.8,12.9
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Cayman Islands,CYM,..,..,..,8.7,8.7,8.7,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,8.8
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Central African Republic,CAF,..,..,..,18.1,18.1,18.1,18.1,18.1,18.1,18.1,18.1,18.1,18.1,18.1,14.8
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Chad,TCD,..,..,..,18.6,18.6,18.6,20.4,20.4,20.4,20.4,21,21,21,21,21
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Chile,CHL,..,..,..,18.3,18.3,18.3,18.4,18.4,18.5,20.4,20.9,20.9,21,21,21.6
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,China,CHN,..,..,..,17,17.1,17.1,17.1,17.1,15.6,15.6,15.6,15.6,15.6,15.6,15.6
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Colombia,COL,..,..,..,23.1,23.2,13.9,14.2,14.2,14.8,14.8,16.9,16.9,16.4,16.4,17
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Comoros,COM,..,..,..,10.2,10.2,10.2,10.2,10.2,10.2,10.2,33.8,33.8,33.8,33.8,33.7
"Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,""Congo, Dem. Rep."",COD,..,..,..,12.9,12.7,12.7,12.7,13.8,13.8,13.8,13.8,13.8,13.9,13.9,14.9"
"Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,""Congo, Rep."",COG,..,..,..,36.4,37.1,37.1,40.6,40.6,40.7,40.7,36.8,36.8,36.8,36.8,36.8"
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Costa Rica,CRI,..,..,..,27.6,27.6,27.6,27.6,27.6,27.6,28.3,28.4,28.4,26.6,26.6,26.5
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Cote d'Ivoire,CIV,..,..,..,22.9,22.9,22.9,22.9,22.9,22.9,23,23,23,23,23,22.8
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Croatia,HRV,..,..,..,13.8,38,38,38.2,38.3,38.3,38.3,38.4,38.4,38.5,38.5,38.4
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Cuba,CUB,..,..,..,12.4,12.4,12.4,16.6,16.6,16.6,16.2,16.2,16.2,16.2,16.2,15.6
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Curacao,CUW,..,..,..,7.8,7.8,15.5,15.5,15.5,15.7,15.7,15.7,15.7,15.7,15.7,16.7
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Cyprus,CYP,..,..,..,20.6,18.4,18.4,18.7,18.7,37.4,38.5,38.6,38.7,38.7,38.7,38.6
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Czechia,CZE,..,..,..,21.9,21.8,21.7,22.1,22.2,22.2,22.2,22.2,22.2,22.2,22.2,21.9
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Denmark,DNK,..,..,..,17.5,25.6,25.6,18.1,26.1,18.1,17.2,17,17,17,17,15.8
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Djibouti,DJI,..,..,..,0.1,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Dominica,DMA,..,..,..,21.6,21.6,22,22,22,22,22,22,22,22,22,21.4
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Dominican Republic,DOM,..,..,..,22.3,23,23,23,23,26.2,26.2,26.2,26.2,26.4,26.4,26.2
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Ecuador,ECU,..,..,..,25.6,25.7,20,20,20,21.7,21.7,22.4,23.2,23.4,23.5,23.6
"Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,""Egypt, Arab Rep."",EGY,..,..,..,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.2"
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,El Salvador,SLV,..,..,..,8.4,8.4,8.8,8.8,8.8,8.8,8.8,8.6,8.6,8.6,8.6,8.3
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Equatorial Guinea,GNQ,..,..,..,23.3,23.3,23.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Eritrea,ERI,..,..,..,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,0,0,0,0
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Estonia,EST,..,..,..,20.1,20.1,20.1,20.2,20.2,20.2,20.6,21.2,21.3,21.4,21.4,22
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Eswatini,SWZ,..,..,..,3,4,4,4.1,4.1,4.2,4.3,4.3,4.3,4.3,4.3,4.2
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Ethiopia,ETH,..,..,..,18.5,18.5,18.5,18.5,18.5,17.6,17.6,16.1,17,17,17,17
